Code,Date,Fy,Indicator,Units,Values,BasinOrZone,Supplier,WatercourseOrGeographicArea,Region,Environment,SubBasinOrSubZone,SubBasinArea,SubBasinProportionOfBasin,Lat,Long,Notes,Wqo,Lor,Sf,Failure,Stat
SFC-R1,2024-10-15T00:00:01Z,2025,DIN,mg.L,46.0025,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.08,0.005,0.38,high,median
SFC-R1,2024-10-15T00:00:01Z,2025,FRP,mg.L,20,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.02,0.005,NA,high,median
SFC-R1,2024-10-15T00:00:01Z,2025,TP,mg.L,18,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.05,0.02,0.46,high,median
SFC-R1,2024-11-12T00:00:01Z,2025,DIN,mg.L,20.02,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.08,0.005,0.38,high,median
SFC-R1,2024-11-12T00:00:01Z,2025,FRP,mg.L,17,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.02,0.005,NA,high,median
SFC-R1,2024-11-12T00:00:01Z,2025,High_DO,%.Sat,9.7,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,110,0.5,120,high,median
SFC-R1,2024-11-12T00:00:01Z,2025,Low_DO,%.Sat,9.7,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,85,0.5,70,low,median
SFC-R1,2024-11-12T00:00:01Z,2025,TP,mg.L,18,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.05,0.02,0.46,high,median
SFC-R1,2024-11-12T00:00:01Z,2025,Turbidity,NTU,92,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,22,0.5,35,high,median
SFC-R1,2024-12-10T00:00:01Z,2025,DIN,mg.L,0.5724999999999999,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.08,0.005,0.38,high,median
SFC-R1,2024-12-10T00:00:01Z,2025,FRP,mg.L,2.6,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.02,0.005,NA,high,median
SFC-R1,2024-12-10T00:00:01Z,2025,High_DO,%.Sat,5.4,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,110,0.5,120,high,median
SFC-R1,2024-12-10T00:00:01Z,2025,Low_DO,%.Sat,5.4,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,85,0.5,70,low,median
SFC-R1,2024-12-10T00:00:01Z,2025,TP,mg.L,2.7,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.05,0.02,0.46,high,median
SFC-R1,2024-12-10T00:00:01Z,2025,Turbidity,NTU,1.9,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,22,0.5,35,high,median
SFC-R1,2025-01-14T00:00:01Z,2025,DIN,mg.L,0.503,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.08,0.005,0.38,high,median
SFC-R1,2025-01-14T00:00:01Z,2025,FRP,mg.L,0.35,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.02,0.005,NA,high,median
SFC-R1,2025-01-14T00:00:01Z,2025,TP,mg.L,0.46,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.05,0.02,0.46,high,median
SFC-R1,2025-01-14T00:00:01Z,2025,Turbidity,NTU,9.8,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,22,0.5,35,high,median
SFC-R1,2025-05-20T00:00:01Z,2025,DIN,mg.L,0.31500000000000006,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.08,0.005,0.38,high,median
SFC-R1,2025-05-20T00:00:01Z,2025,FRP,mg.L,0.035,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.02,0.005,NA,high,median
SFC-R1,2025-05-20T00:00:01Z,2025,High_DO,%.Sat,29.4,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,110,0.5,120,high,median
SFC-R1,2025-05-20T00:00:01Z,2025,Low_DO,%.Sat,29.4,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,85,0.5,70,low,median
SFC-R1,2025-05-20T00:00:01Z,2025,TP,mg.L,0.1,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.05,0.02,0.46,high,median
SFC-R1,2025-06-24T00:00:01Z,2025,DIN,mg.L,0.005,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.08,0.005,0.38,high,median
SFC-R1,2025-06-24T00:00:01Z,2025,FRP,mg.L,0.028,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,0.02,0.005,NA,high,median
SFC-R1,2025-06-24T00:00:01Z,2025,High_DO,%.Sat,6.1,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,110,0.5,120,high,median
SFC-R1,2025-06-24T00:00:01Z,2025,Low_DO,%.Sat,6.1,Ross,Jet Zero,Stuart Inside TSDA,DT,Freshwater,Stuart Creek,105.221525192433,0.0812700194770384,-19.3350072213,146.862704039,NA,85,0.5,70,low,median
