Data Source,Region,Basin,Catchment,Site Code,Site Name,Latitude,Longitude,Datum,Sample Reference,Sampling Year,Date Time,Collection Method,Sampling Depth (m),Laboratory,Analysis Method,Analyte Group,Analyte,Operator,Value,Unit,Quality Code,Comment,Project Name,Project Description
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019002","2006-2007","22/01/2007 13:30","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Ametryn","<","0.01","Micrograms/Litre","910","","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019002","2006-2007","22/01/2007 13:30","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Atrazine","<","0.01","Micrograms/Litre","910","","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019002","2006-2007","22/01/2007 13:30","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Diuron","<","0.01","Micrograms/Litre","910","","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019002","2006-2007","22/01/2007 13:30","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Hexazinone","<","0.01","Micrograms/Litre","910","","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019002","2006-2007","22/01/2007 13:30","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Prometryn","<","0.01","Micrograms/Litre","910","","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019002","2006-2007","22/01/2007 13:30","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Simazine","<","0.01","Micrograms/Litre","910","","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019002","2006-2007","22/01/2007 13:30","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Tebuthiuron","<","0.01","Micrograms/Litre","910","","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019003","2006-2007","23/01/2007 09:40","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Ametryn","<","0.01","Micrograms/Litre","910","peak","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019003","2006-2007","23/01/2007 09:40","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Atrazine","<","0.01","Micrograms/Litre","910","peak","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
"Third Party","Burdekin","Black","Black River","117002A","Black River at Bruce Highway","-19.237697","146.632873","GDA2020","9019003","2006-2007","23/01/2007 09:40","Manual","","TropWATER Water Quality Laboratory","See Metadata in Project description","Pesticides","Diuron","<","0.01","Micrograms/Litre","910","peak","Black Ross Water Quality Improvement Plan","Licence CC BY. Event water quality monitoring of waterways representing Black Ross basin land uses from 2006 to 2008 including sediment - nutrients and pesticides. Metadata: https://storymaps.arcgis.com/stories/a2b9582ba4b54247b46bc5075806f1c4"
