Region,BasinOrZone,SubBasinOrSubZone,WatercourseOrGeographicArea,SubBasinArea,SubBasinProportionOfBasin,Din,HighDo,LowDo,Tp,Turbidity,Frp,Nutrients,MinDo,PhysChem,OverallWq,DinWeighted,FrpWeighted,HighDoWeighted,LowDoWeighted,TpWeighted,TurbidityWeighted,NutrientsWeighted,PhysChemWeighted,OverallWqWeighted,DinGrade,HighDoGrade,LowDoGrade,TpGrade,TurbidityGrade,FrpGrade,NutrientsGrade,MinDoGrade,PhysChemGrade,OverallWqGrade,DinWeightedGrade,FrpWeightedGrade,HighDoWeightedGrade,LowDoWeightedGrade,TpWeightedGrade,TurbidityWeightedGrade,NutrientsWeightedGrade,PhysChemWeightedGrade,OverallWqWeightedGrade
DT,Ross,Bohle River,Bohle River,25.2953062155325,0.182728517021832,90,90,66.914,61.09,62.213,NA,75.545,66.914,64.5635,70.05425,16.44556653196488,NA,16.44556653196488,12.227095987998865,11.162885104863717,11.368089229479233,13.804225818414297,11.79759260873905,12.800909213576674,A,A,B,B,B,E,B,B,B,B,E,E,E,E,E,E,E,E,E
DT,Ross,Bohle River,Louisa Creek,25.2953062155325,0.182728517021832,0,90,0,0,67.045,NA,0,0,33.5225,16.76125,0,NA,16.44556653196488,0,0,12.251033423728726,0,6.125516711864363,3.0627583559321816,E,A,E,E,B,E,E,E,D,E,E,E,E,E,E,E,E,E,E
DT,Ross,Lower Ross River,Ross Creek,11.0158865359966,0.079576684830461,90,90,61.298,90,90,90,90,61.298,75.649,82.8245,7.16190163474149,7.16190163474149,7.16190163474149,4.877891626737599,7.16190163474149,7.16190163474149,7.16190163474149,6.019896630739544,6.5908991327405175,A,A,B,A,A,A,A,B,B,A,E,E,E,E,E,E,E,E,E
DT,Ross,Lower Ross River,Ross River,11.0158865359966,0.079576684830461,90,90,33.44,90,90,90,90,33.44,61.72,75.86,7.16190163474149,7.16190163474149,7.16190163474149,2.6610443407306157,7.16190163474149,7.16190163474149,7.16190163474149,4.911472987736053,6.036687311238771,A,A,D,A,A,A,A,D,B,B,E,E,E,E,E,E,E,E,E
DT,Ross,Stuart Creek,Sandfly Creek,15.9533669958627,0.11524411160792,90,90,68.882,70.135,42.447,NA,80.0675,68.882,55.664500000000004,67.866,10.3719700447128,NA,10.3719700447128,7.938244895776746,8.08264576762147,4.891766805421381,9.227307906167134,6.415005850599063,7.821156878383099,A,A,B,B,C,E,B,B,C,B,E,E,E,E,E,E,E,E,E
DT,Ross,Alligator Creek,Alligator Creek,86.1665216612641,0.622450686539787,90,90,65.211,74.357,58.464,NA,82.1785,65.211,61.8375,72.008,56.02056178858083,NA,56.02056178858083,40.590631719946046,46.28356569903894,36.39095693786211,51.15206374380988,38.49079432890407,44.821429036356975,A,A,B,B,C,E,A,B,B,B,C,E,C,D,C,D,C,D,C
DT,Black,Bluewater Creek,Althaus Creek,4.90819739478064,0.465132590754011,62.284,90,90,74.357,18.531,90,68.3205,90,54.2655,61.293,28.97031828252282,41.86193316786099,41.86193316786099,41.86193316786099,34.585864050695996,8.619372039262577,31.778091166609403,25.240652603561784,28.509371885085596,B,A,A,B,E,A,B,A,C,B,D,C,C,C,D,E,D,D,D
DT,Black,Bluewater Creek,Bluewater Creek,4.90819739478064,0.465132590754011,50.895,90,70.938,72.571,28.471,90,61.733000000000004,70.938,49.7045,55.71875,23.67292320642539,41.86193316786099,41.86193316786099,32.99557572290803,33.75513724360933,13.242789991357446,28.71403022501736,23.11918285713274,25.916606541075048,C,A,B,B,D,A,B,B,C,C,D,C,C,D,D,E,D,D,D
DT,Black,Bluewater Creek,Sleeper Log Creek,4.90819739478064,0.465132590754011,62.047,90,90,77.673,35.365,90,69.86,90,62.682500000000005,66.27125000000001,28.860081858514118,41.86193316786099,41.86193316786099,41.86193316786099,36.128243721636295,16.4494140720156,32.49416279007521,29.155673619938295,30.824918205006753,B,A,A,B,D,A,B,A,B,B,D,C,C,C,D,E,D,D,D
DT,Black,Rollingstone Creek,Camp Oven Creek,2.8641617477688,0.271426527281668,62.748,90,2.436,90,90,90,76.374,2.436,46.218,61.296,17.031471733870102,24.42838745535012,24.42838745535012,0.6611950204581433,24.42838745535012,24.42838745535012,20.72992959461011,12.544791237904132,16.63736041625712,B,A,E,A,A,A,B,E,C,B,E,D,D,E,D,D,E,E,E
