Code,Date,Fy,Indicator,Units,Values,SubBasinOrSubZone,Supplier,Region,Environment,BasinOrZone,WatercourseOrGeographicArea,SubBasinArea,SubBasinProportionOfBasin,Lat,Long,Wqo,Lor,Sf,Failure,Stat
P.Lake,2023-07-18T00:00:01Z,2024,DIN,mg.L,0.034999999999999996,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2023-08-03T00:00:01Z,2024,DIN,mg.L,0.03,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2023-09-14T00:00:01Z,2024,DIN,mg.L,0.04,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2023-10-12T00:00:01Z,2024,DIN,mg.L,0.060000000000000005,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2023-11-03T00:00:01Z,2024,DIN,mg.L,0.06999999999999999,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2023-11-29T00:00:01Z,2024,DIN,mg.L,0.1,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2024-01-24T00:00:01Z,2024,DIN,mg.L,0.08,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2024-02-22T00:00:01Z,2024,DIN,mg.L,0.02,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2024-03-27T00:00:01Z,2024,DIN,mg.L,0.015,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2024-05-01T00:00:01Z,2024,DIN,mg.L,0.015,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
P.Lake,2024-05-30T00:00:01Z,2024,DIN,mg.L,0.015,Paluma Dam,TCC_Other,DT,Freshwater,Black,Paluma Lake,5.07751674138413,0.0048478839906541,-18.9425086622311,146.15616053391,0.02,0.02,0.05,high,median
