Code,Indicator,ValueHalved,ValueUnchanged
A.Weir,Ammonia,9,2
A.Weir,DIN,7,4
A.Weir,NOX,9,2
AltC7.0,Ammonia,2,3
AltC7.0,DIN,2,3
AltC7.0,NOX,2,3
B.Weir,Ammonia,7,4
B.Weir,DIN,7,4
B.Weir,NOX,9,2
B.Weir,TP,7,4
BOH18.1,NOX,1,11
BR6.8,Ammonia,2,9
BR6.8,NOX,1,10
BR6.8,Turbidity,4,7
BWC6.1,Ammonia,3,8
BWC6.1,NOX,2,9
CLMP.BR,Ammonia,10,53
CLMP.BR,DIN,2,61
CLMP.BR,NOX,4,59
CLMP.RR,Ammonia,4,50
CLMP.RR,DIN,1,54
CLMP.RR,FRP,2,52
CLMP.RR,NOX,7,48
CryC7.1,Ammonia,6,5
CryC7.1,DIN,1,10
CryC7.1,NOX,2,9
G.Weir,Ammonia,10,1
G.Weir,DIN,9,2
G.Weir,NOX,10,1
LC4.5,Ammonia,2,9
LC4.5,DIN,1,10
LC4.5,NOX,6,5
OC3.7,Ammonia,6,3
OC3.7,Turbidity,3,6
P.Lake,Ammonia,7,5
P.Lake,DIN,5,7
P.Lake,NOX,10,2
P.Lake,TP,12,NA
RLS1,Ammonia,11,NA
RLS1,DIN,11,NA
RLS1,NOX,11,NA
RLS1,TP,7,4
RLS2,Ammonia,11,NA
RLS2,DIN,11,NA
RLS2,NOX,11,NA
RLS2,TP,9,2
RLS3,Ammonia,11,NA
RLS3,DIN,11,NA
RLS3,NOX,11,NA
RLS3,TP,8,3
RLS4,Ammonia,11,NA
RLS4,DIN,10,1
RLS4,NOX,10,1
RLS4,TP,7,4
RLS5,Ammonia,11,NA
RLS5,DIN,11,NA
RLS5,NOX,11,NA
RLS5,TP,7,4
RLS6,Ammonia,13,NA
RLS6,DIN,13,NA
RLS6,NOX,13,NA
RLS6,TP,9,4
RLS7,Ammonia,11,NA
RLS7,DIN,11,NA
RLS7,NOX,11,NA
RLS7,TP,7,4
RolC5.5,Ammonia,4,7
RolC5.5,NOX,1,10
RolC5.5,Turbidity,3,8
SLC5.2,Ammonia,3,8
SLC5.2,DIN,2,9
SLC5.2,NOX,9,2
SWC2.7,Ammonia,6,4
SWC2.7,DIN,3,7
SWC2.7,NOX,6,4
