Region,BasinOrZone,SubBasinOrSubZone,WatercourseOrGeographicArea,SubBasinArea,SubBasinProportionOfBasin,HighDo,LowDo,Tp,Turbidity,Frp,Din,Nutrients,MinDo,PhysChem,OverallWq,DinWeighted,FrpWeighted,HighDoWeighted,LowDoWeighted,TpWeighted,TurbidityWeighted,NutrientsWeighted,PhysChemWeighted,OverallWqWeighted,FrpWeightedGrade,HighDoWeightedGrade,LowDoWeightedGrade,TpWeightedGrade,TurbidityWeightedGrade,NutrientsWeightedGrade,PhysChemWeightedGrade,OverallWqWeightedGrade
DT,Ross,Upper Ross River,Ross Lake,760,0.59,90,90,90,72,NA,NA,90,90,81,85,NA,NA,52.9,52.9,52.9,42.6,52.9,47.7,50.3,E,C,C,C,C,C,C,C
DT,Ross,Lower Ross River,Aplins Weir,123,0.1,90,34,NA,90,90,60,60,34,62,61,5.7,8.6,8.6,3.3,NA,8.6,5.7,5.9,5.8,E,E,E,E,E,E,E,E
DT,Ross,Lower Ross River,Gleesons Weir,123,0.1,90,34,NA,78,NA,90,90,34,56,73,8.6,NA,8.6,3.3,NA,7.5,8.6,5.4,7,E,E,E,E,E,E,E,E
DT,Ross,Lower Ross River,Blacks Weir,123,0.1,90,22,90,90,NA,64,77,22,56,66,6.1,NA,8.6,2.2,8.6,8.6,7.4,5.4,6.4,E,E,E,E,E,E,E,E
DT,Ross,Bohle River,Bohle Mid-Field,305,0.24,90,0,0,90,NA,0,0,0,45,22,0,NA,21.2,0,0,21.2,0,10.6,5.3,E,D,E,E,D,E,E,E
DT,Ross,Bohle River,Bohle Far-Field,305,0.24,90,0,0,77,NA,25,12,0,38,25,5.9,NA,21.2,0,0,18.2,2.9,9.1,6,E,D,E,E,E,E,E,E
DT,Black,Black River,Black River,299,0.29,64,90,42,90,90,59,51,64,77,64,17,25.8,18.4,25.8,12.2,25.8,14.6,22.1,18.3,D,E,D,E,D,E,D,E
DT,Black,Bluewater Creek,Althaus Creek,287,0.27,73,90,42,58,90,68,55,73,65,60,18.9,24.7,20.1,24.7,11.7,16,15.3,18,16.6,D,E,D,E,E,E,E,E
DT,Black,Bluewater Creek,Bluewater Creek,287,0.27,90,90,76,90,90,46,61,90,90,75,12.8,24.7,24.7,24.7,21,24.7,16.9,24.7,20.8,D,D,D,E,D,E,D,E
DT,Black,Bluewater Creek,Sleeper Log Creek,287,0.27,90,90,61,30,90,90,75,90,60,67,24.7,24.7,24.7,24.7,16.7,8.4,20.7,16.6,18.6,D,D,D,E,E,E,E,E
DT,Black,Rollingstone Creek,Leichhardt Creek,219,0.21,90,61,73,90,90,90,81,61,75,78,18.8,18.8,18.8,12.8,15.4,18.8,17.1,15.8,16.5,E,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,Saltwater Creek,219,0.21,90,90,90,90,90,90,90,90,90,90,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,E,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,Rollingstone Creek,219,0.21,90,49,90,90,90,61,75,49,69,72,12.9,18.8,18.8,10.3,18.8,18.8,15.9,14.6,15.2,E,E,E,E,E,E,E,E
DT,Black,Crystal Creek,Ollera Creek,236,0.23,90,8,90,90,90,90,90,8,49,69,20.3,20.3,20.3,2,20.3,20.3,20.3,11.1,15.7,E,E,E,E,E,E,E,E
DT,Black,Crystal Creek,Crystal Creek,236,0.23,90,90,90,90,90,90,90,90,90,90,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,E,E,E,E,E,E,E,E
DT,Black,Paluma Dam,Paluma Lake,5,0,90,53,90,90,NA,NA,90,53,71,80,NA,NA,0.4,0.3,0.4,0.4,0.4,0.3,0.4,E,E,E,E,E,E,E,E
DT,Ross,Upper Ross River,NA,760,0.59,90,90,90,72,NA,NA,90,NA,81,85,NA,NA,52.9,52.9,52.9,42.6,52.9,47.7,50.3,E,C,C,C,C,C,C,C
DT,Ross,Lower Ross River,NA,123,0.1,90,30,90,86,NA,71,75,NA,58,67,6.8,NA,8.6,2.9,8.6,8.2,7.2,5.6,6.4,E,E,E,E,E,E,E,E
DT,Ross,Bohle River,NA,305,0.24,90,0,0,83,NA,12,6,NA,41,24,2.9,NA,21.2,0,0,19.7,1.5,9.8,5.7,E,D,E,E,E,E,E,E
DT,Black,Black River,NA,299,0.29,64,90,42,90,NA,59,51,NA,77,64,17,NA,18.4,25.8,12.2,25.8,14.6,22.1,18.3,E,E,D,E,D,E,D,E
DT,Black,Bluewater Creek,NA,287,0.27,84,90,60,59,NA,68,64,NA,72,68,18.8,NA,23.1,24.7,16.5,16.4,17.6,19.7,18.7,E,D,D,E,E,E,E,E
DT,Black,Rollingstone Creek,NA,219,0.21,90,66,84,90,NA,80,82,NA,78,80,16.9,NA,18.8,14,17.7,18.8,17.3,16.4,16.8,E,E,E,E,E,E,E,E
