Region,BasinOrZone,SubBasinOrSubZone,WatercourseOrGeographicArea,SubBasinArea,SubBasinProportionOfBasin,HighDo,LowDo,Tp,Turbidity,Frp,Din,Nutrients,MinDo,PhysChem,OverallWq,DinWeighted,FrpWeighted,HighDoWeighted,LowDoWeighted,TpWeighted,TurbidityWeighted,NutrientsWeighted,PhysChemWeighted,OverallWqWeighted,FrpWeightedGrade,HighDoWeightedGrade,LowDoWeightedGrade,TpWeightedGrade,TurbidityWeightedGrade,NutrientsWeightedGrade,PhysChemWeightedGrade,OverallWqWeightedGrade
DT,Ross,Upper Ross River,Ross Lake,760.728379132549,0.587564284738997,90,90,90,72.461,NA,NA,90,90,81.2305,85.61525,NA,NA,52.880785626509734,52.880785626509734,52.880785626509734,42.57549563647246,52.880785626509734,47.7281406314911,50.30446312900042,E,C,C,C,C,C,C,C
DT,Ross,Lower Ross River,Aplins Weir,123.60773642207,0.0954709896873527,90,34.068,NA,90,90,60.096,60.096,34.068,62.034,61.065,5.737424596251147,8.592389071861742,8.592389071861742,3.2525056766687315,NA,8.592389071861742,5.737424596251147,5.922447374265237,5.829935985258192,E,E,E,E,E,E,E,E
DT,Ross,Lower Ross River,Gleesons Weir,123.60773642207,0.0954709896873527,90,34.322,NA,78.502,NA,90,90,34.322,56.412,73.206,8.592389071861742,NA,8.592389071861742,3.2767553080493195,NA,7.494663632436561,8.592389071861742,5.38570947024294,6.989049271052342,E,E,E,E,E,E,E,E
DT,Ross,Lower Ross River,Blacks Weir,123.60773642207,0.0954709896873527,90,22.736,90,90,NA,64.407,77.20349999999999,22.736,56.368,66.78575,6.1490000327933245,NA,8.592389071861742,2.170628421531651,8.592389071861742,8.592389071861742,7.370694552327533,5.381508746696697,6.3761016495121146,E,E,E,E,E,E,E,E
DT,Ross,Bohle River,Bohle Mid-Field,305.157505988719,0.235694706096612,90,0,0,90,NA,0,0,0,45,22.5,0,NA,21.21252354869508,0,0,21.21252354869508,0,10.60626177434754,5.30313088717377,E,D,E,E,D,E,E,E
DT,Ross,Bohle River,Bohle Far-Field,305.157505988719,0.235694706096612,90,0,0,77.01,NA,25.03,12.515,0,38.505,25.51,5.899438493598199,NA,21.21252354869508,0,0,18.150849316500093,2.9497192467990994,9.075424658250046,6.012571952524572,E,D,E,E,E,E,E,E
DT,Black,Black River,Black River,299.829734305232,0.286269813157558,64.371,90,42.63,90,90,59.378,51.004000000000005,64.371,77.18549999999999,64.09475,16.99812896566948,25.764283184180222,18.427474142765163,25.764283184180222,12.203682134906698,25.764283184180222,14.60090555028809,22.09587866347269,18.348392106880393,D,E,D,E,D,E,D,E
DT,Black,Bluewater Creek,Althaus Creek,287.049939891155,0.274067990120936,73.189,90,42.63,58.342,90,68.818,55.724000000000004,73.189,65.7655,60.74475,18.860810944142575,24.666119110884242,20.058762128961185,24.666119110884242,11.683518418855503,15.98967467963565,15.27216468149904,18.02421840429842,16.64819154289873,D,E,D,E,E,E,E,E
DT,Black,Bluewater Creek,Bluewater Creek,287.049939891155,0.274067990120936,90,90,76.568,90,90,46.69,61.629,90,90,75.8145,12.796234458746502,24.666119110884242,24.666119110884242,24.666119110884242,20.984837867579827,24.666119110884242,16.890536163163166,24.666119110884242,20.778327637023704,D,D,D,E,D,E,D,E
DT,Black,Bluewater Creek,Sleeper Log Creek,287.049939891155,0.274067990120936,90,90,61.09,30.815,90,90,75.545,90,60.4075,67.97625,24.666119110884242,24.666119110884242,24.666119110884242,24.666119110884242,16.74281351648798,8.445405115576644,20.704466313686112,16.555762113230443,18.630114213458274,D,D,D,E,E,E,E,E
DT,Black,Rollingstone Creek,Leichhardt Creek,219.201831283734,0.209288339699849,90,61.254,73.528,90,90,90,81.76400000000001,61.254,75.627,78.69550000000001,18.83595057298641,18.83595057298641,18.83595057298641,12.819747959974551,15.388553041450498,18.83595057298641,17.112251807218456,15.827849266480479,16.47005053684947,E,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,Saltwater Creek,219.201831283734,0.209288339699849,90,90,90,90,90,90,90,90,90,90,18.83595057298641,18.83595057298641,18.83595057298641,18.83595057298641,18.83595057298641,18.83595057298641,18.83595057298641,18.83595057298641,18.83595057298641,E,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,Rollingstone Creek,219.201831283734,0.209288339699849,90,49.329,90,90,90,61.631,75.8155,49.329,69.6645,72.74000000000001,12.898649664041393,18.83595057298641,18.83595057298641,10.323984509053851,18.83595057298641,18.83595057298641,15.867300118513903,14.579967541020132,15.223633829767019,E,E,E,E,E,E,E,E
DT,Black,Crystal Creek,Ollera Creek,236.208602740792,0.225525973031003,90,8.831,90,90,90,90,90,8.831,49.4155,69.70775,20.29733757279027,20.29733757279027,20.29733757279027,1.9916198678367873,20.29733757279027,20.29733757279027,20.29733757279027,11.14447872031353,15.720908146551901,E,E,E,E,E,E,E,E
DT,Black,Crystal Creek,Crystal Creek,236.208602740792,0.225525973031003,90,90,90,90,90,90,90,90,90,90,20.29733757279027,20.29733757279027,20.29733757279027,20.29733757279027,20.29733757279027,20.29733757279027,20.29733757279027,20.29733757279027,20.29733757279027,E,E,E,E,E,E,E,E
DT,Black,Paluma Dam,Paluma Lake,5.07751674138413,0.0048478839906541,90,53.793,90,90,NA,NA,90,53.793,71.8965,80.94825,NA,NA,0.43630955915886904,0.260782223509256,0.43630955915886904,0.43630955915886904,0.43630955915886904,0.34854589133406255,0.3924277252464658,E,E,E,E,E,E,E,E
DT,Ross,Upper Ross River,NA,760.728379132549,0.587564284738997,90,90,90,72.461,NA,NA,90,NA,81.2305,85.61525,NA,NA,52.880785626509734,52.880785626509734,52.880785626509734,42.57549563647246,52.880785626509734,47.7281406314911,50.30446312900042,E,C,C,C,C,C,C,C
DT,Ross,Lower Ross River,NA,123.60773642207,0.0954709896873527,90,30.375333333333334,90,86.16733333333333,NA,71.501,75.7665,NA,58.27133333333333,67.01891666666667,6.8262712336354054,NA,8.592389071861742,2.8999631354165674,8.592389071861742,8.226480592053349,7.2335027401468075,5.563221863734958,6.3983623019408835,E,E,E,E,E,E,E,E
DT,Ross,Bohle River,NA,305.157505988719,0.235694706096612,90,0,0,83.505,NA,12.515,6.2575,NA,41.7525,24.005000000000003,2.9497192467990994,NA,21.21252354869508,0,0,19.681686432597584,1.4748596233995497,9.840843216298792,5.657851419849171,E,D,E,E,E,E,E,E
DT,Black,Black River,NA,299.829734305232,0.286269813157558,64.371,90,42.63,90,NA,59.378,51.004000000000005,NA,77.18549999999999,64.09475,16.99812896566948,NA,18.427474142765163,25.764283184180222,12.203682134906698,25.764283184180222,14.60090555028809,22.09587866347269,18.348392106880393,E,E,D,E,D,E,D,E
