Region,BasinOrZone,SubBasinOrSubZone,WatercourseOrGeographicArea,Chla,Nox,Pn,Pp,Secchi,Tss,Turbidity,Tn,Tp,Frp,Nutrients,PhysChem,OverallWq,ChlaGrade,NoxGrade,PnGrade,PpGrade,SecchiGrade,TssGrade,TurbidityGrade,TnGrade,TpGrade,FrpGrade,NutrientsGrade,PhysChemGrade,OverallWqGrade
DT,Halifax Bay,Midshelf,Midshelf,36.588,85.499,35.832,79.118,36.101,100,98.613,NA,NA,NA,66.81633333333333,78.238,60.547444444444444,D,A,D,B,D,A,A,E,E,E,B,B,C
DT,Halifax Bay,HB.Open Coastal,H.Open Coastal,41.252,100,28.983,56.025,2.142,69.733,75.432,NA,NA,NA,61.669333333333334,49.102333333333334,50.67455555555556,C,A,D,C,E,B,B,E,E,E,B,C,C
DT,Cleveland Bay,Magnetic Island,Magnetic Island,80.97,57.08,15.869,41.99,73.214,98.418,67.757,NA,NA,NA,38.313,79.79633333333334,66.35977777777778,B,C,E,C,B,A,B,E,E,E,D,B,B
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Outside Port Zone,63.882,100,NA,NA,100,3.67,0,79.373,100,100,100,34.556666666666665,66.14622222222222,B,A,E,E,A,E,E,B,A,A,A,D,B
DT,Cleveland Bay,CB.Open Coastal,OC.Outside Port Zone,NA,NA,NA,NA,54.957,95.954,0,88.21,100,100,100,50.303666666666665,75.15183333333333,E,E,E,E,C,A,E,A,A,A,A,C,B
DT,Cleveland Bay,CB.Open Coastal,OC.Inside Port Zone,NA,100,NA,NA,99.438,100,84.886,100,100,100,100,94.77466666666666,97.38733333333333,E,A,E,E,A,A,A,A,A,A,A,A,A
DT,Halifax Bay,HB.Enclosed Coastal,H.Enclosed Coastal,100,100,NA,NA,NA,66.389,46.293,100,100,100,100,56.340999999999994,85.447,A,A,E,E,E,B,C,A,A,A,A,C,A
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Inside Port Zone,NA,100,NA,NA,100,100,63.454,99.326,100,100,100,87.818,93.90899999999999,E,A,E,E,A,A,B,A,A,A,A,A,A
DT,Cleveland Bay,CB.Enclosed Coastal,NA,63.882,100,NA,NA,100,51.835,31.727,89.3495,100,100,100,61.18733333333333,75.0231111111111,B,A,E,E,A,C,D,A,A,A,A,B,B
DT,Cleveland Bay,CB.Open Coastal,NA,NA,100,NA,NA,77.1975,97.977,42.443,94.10499999999999,100,100,100,72.53916666666666,86.26958333333333,E,A,E,E,B,A,C,A,A,A,A,B,A
DT,Cleveland Bay,Magnetic Island,NA,80.97,57.08,15.869,41.99,73.214,98.418,67.757,NA,NA,NA,38.313,79.79633333333334,66.35977777777778,B,C,E,C,B,A,B,E,E,E,D,B,B
DT,Halifax Bay,HB.Enclosed Coastal,NA,100,100,NA,NA,NA,66.389,46.293,100,100,100,100,56.340999999999994,85.447,A,A,E,E,E,B,C,A,A,A,A,C,A
DT,Halifax Bay,HB.Open Coastal,NA,41.252,100,28.983,56.025,2.142,69.733,75.432,NA,NA,NA,61.669333333333334,49.102333333333334,50.67455555555556,C,A,D,C,E,B,B,E,E,E,B,C,C
DT,Halifax Bay,Midshelf,NA,36.588,85.499,35.832,79.118,36.101,100,98.613,NA,NA,NA,66.81633333333333,78.238,60.547444444444444,D,A,D,B,D,A,A,E,E,E,B,B,C
DT,Cleveland Bay,NA,NA,72.426,89.27,15.869,41.99,85.5218,79.6084,43.2194,91.72725,100,100,87.6626,69.44986666666667,76.51282222222223,B,A,E,C,A,B,C,A,A,A,A,B,B
DT,Halifax Bay,NA,NA,59.28,95.16633333333333,32.4075,67.5715,19.1215,78.70733333333334,73.446,100,100,100,76.16188888888888,61.22711111111111,65.55633333333333,C,A,D,B,E,B,B,A,A,A,B,B,B
