Site.Name,Date,Ametryn,Atrazine,Diuron,Hexazinone,Prometryn,Simazine,Tebuthiuron,"2,4-D",Chlorpyrifos,Fipronil,Fluroxypyr,Haloxyfop (acid),Imazapic,Imidacloprid,Isoxaflutole metabolite (DKN),MCPA,Metolachlor,Metribuzin,Metsulfuron-methyl,Pendimethalin,Terbuthylazine,Triclopyr
Black River at Bruce Highway,2017-08-16T07:15:00Z,<0.01,<0.02,<0.02,<0.01,<0.02,<0.01,<0.01,<0.05,<0.02,<0.02,<0.05,<0.02,<0.01,<0.02,<0.02,<0.02,<0.01,<0.02,<0.02,<0.02,<0.01,<0.05
Black River at Bruce Highway,2018-02-21T06:00:00Z,<0.01,<0.02,<0.02,<0.01,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.05,<0.02,<0.01,<0.02,<0.02,0.14,<0.01,<0.02,<0.02,<0.02,<0.01,<1
Black River at Bruce Highway,2018-02-22T13:00:00Z,<0.01,<0.02,<0.02,<0.01,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.05,<0.02,<0.01,<0.02,<0.02,0.01,<0.01,<0.02,<0.02,<0.02,<0.01,<1
Black River at Bruce Highway,2018-02-23T09:50:00Z,<0.01,<0.02,<0.02,<0.01,<0.02,<0.01,<0.01,0.03,<0.02,<0.02,<0.05,<0.02,<0.01,<0.02,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.01,<1
Black River at Bruce Highway,2018-02-24T10:00:00Z,<0.01,<0.02,<0.02,<0.01,<0.02,<0.01,0.02,<0.02,<0.02,<0.02,<0.05,<0.02,<0.01,<0.02,<0.02,0.01,<0.01,<0.02,<0.02,<0.02,<0.01,<0.2
Black River at Bruce Highway,2018-02-25T08:00:00Z,<0.01,<0.02,<0.02,<0.01,<0.02,<0.01,0.02,<0.02,<0.02,<0.02,<0.05,<0.02,<0.01,<0.02,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.01,<0.2
Black River at Bruce Highway,2018-02-27T12:00:00Z,<0.01,<0.02,<0.02,<0.01,<0.02,<0.01,0.01,<0.02,<0.02,<0.02,<0.05,<0.02,<0.01,<0.02,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.01,<1
Black River at Bruce Highway,2018-02-28T13:00:00Z,<0.01,<0.02,<0.02,<0.01,<0.02,<0.01,0.01,<0.02,<0.02,<0.02,<0.05,<0.02,<0.01,<0.02,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.01,<1
Black River at Bruce Highway,2018-03-01T13:30:00Z,<0.01,<0.02,<0.02,<0.01,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.05,<0.02,<0.01,<0.02,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.01,<0.05
Black River at Bruce Highway,2018-03-02T16:00:00Z,<0.01,<0.02,<0.02,<0.01,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.05,<0.02,<0.01,<0.02,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.01,<1
Black River at Bruce Highway,2018-03-07T08:00:00Z,<0.01,<0.02,<0.02,<0.01,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.05,<0.02,<0.01,<0.02,<0.02,0.01,<0.01,<0.02,<0.02,<0.02,<0.01,<0.2
Black River at Bruce Highway,2018-03-13T05:00:00Z,<0.01,<0.02,<0.02,<0.01,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.05,<0.02,<0.01,<0.02,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.01,<0.2
Black River at Bruce Highway,2018-03-24T07:05:00Z,<0.01,<0.02,<0.02,<0.01,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.05,<0.02,<0.01,<0.02,<0.02,<0.01,<0.01,<0.02,<0.02,<0.02,<0.01,<0.05
